941572,Other Enterprise,Telecommunications Equipment Provider," $	107,964.00 ",, $	-00 ,114," $	20,275.00 ",," $	30,041.00 ",," $	32,232.00 ",,
908110,Media & Content,Internet Content & Software," $	41,893.00 ",, $	-00 ,17, $	-00 ,, $	-00 ,," $	23,448.00 ",,117
957010,Telecommunications,RLEC," $	555,682.00 ",," $	6,509.00 ",471, $	660.00 ,, $	-00 ,35," $	7,511.00 ",13,
869023,Telecommunications,Reseller," $	69,681.00 ",70," $	15,579.00 ",974," $	10,878.00 ",, $	-00 ,," $	13,441.00 ",,189
959691,Data Center & Cloud Services,Cloud Service Provider," $	63,504.00 ",, $	-00 ,23, $	-00 ,, $	-00 ,97, $	-00 ,,
522147,CATV/Satellite,Cable & Satellite," $	91,665.00 ",," $	15,243.00 ",521," $	3,048.00 ",, $	-00 ,, $	-00 ,,
867725,Professional Services,Legal," $	77,514.00 ",, $	-00 ,91," $	71,924.00 ",, $	623.00 ,," $	4,967.00 ",,
441630,Media & Content,Internet Content & Software," $	144,820.00 ",, $	-00 ,15," $	2,016.00 ",, $	-00 ,, $	-00 ,66,120
251358,Media & Content,Media," $	7,341.00 ",, $	-00 ,81, $	-00 ,," $	5,098.00 ",," $	2,243.00 ",,
927603,Other Enterprise,Retail, $	-00 ,, $	-00 ,1194, $	-00 ,, $	-00 ,, $	-00 ,,
729199,Media & Content,Internet Content & Software," $	91,581.00 ",, $	-00 ,101, $	-00 ,27," $	42,971.00 ",," $	34,978.00 ",,93
865931,Telecommunications,National Carrier/ISP," $	179,019.00 ",," $	5,689.00 ",439," $	134,335.00 ",, $	-00 ,66," $	6,045.00 ",95,
738698,Energy & Manufacturing,Manufacturing," $	9,583.00 ",, $	-00 ,93, $	-00 ,, $	-00 ,, $	-00 ,,
435806,Data Center & Cloud Services,Colo/Hosting," $	44,873.00 ",, $	-00 ,567," $	3,768.00 ",, $	-00 ,," $	5,070.00 ",,52
760718,Media & Content,Internet Content & Software," $	68,530.00 ",, $	-00 ,105," $	52,850.00 ",," $	6,117.00 ",," $	9,563.00 ",,
448353,Data Center & Cloud Services,Cloud Service Provider," $	71,236.00 ",, $	-00 ,200, $	-00 ,," $	15,645.00 ",," $	9,467.00 ",,
386426,Media & Content,Internet Content & Software, $	-00 ,, $	-00 ,64, $	-00 ,, $	-00 ,, $	-00 ,,
191253,Finance,Finance," $	21,450.00 ",, $	-00 ,855, $	-00 ,," $	3,525.00 ",," $	10,876.00 ",,
360311,Other Enterprise,Transportation," $	39,745.00 ",, $	-00 ,1041, $	-00 ,," $	6,224.00 ",," $	33,521.00 ",,201
721656,Media & Content,Internet Content & Software," $	89,827.00 ",, $	-00 ,193, $	-00 ,48," $	32,421.00 ",96," $	33,499.00 ",,
138755,Finance,Finance," $	67,376.00 ",, $	-00 ,, $	-00 ,," $	12,044.00 ",," $	19,547.00 ",,
651241,Other Enterprise,Retail, $	-00 ,,,1197,,,,,,,
797980,Finance,Finance," $	148,166.00 ",, $	-00 ,763, $	-00 ,," $	6,042.00 ",," $	3,033.00 ",23,56
812744,Other Enterprise,Transportation," $	100,296.00 ",, $	-00 ,968, $	-00 ,, $	-00 ,, $	-00 ,,
811264,Telecommunications,Wireless," $	211,148.00 ",11," $	160,310.00 ",, $	-00 ,, $	-00 ,, $	-00 ,,161
610306,Media & Content,Media," $	72,735.00 ",, $	-00 ,82, $	-00 ,, $	-00 ,55," $	2,146.00 ",88,70
258844,Energy & Manufacturing,Oil & Gas," $	21,228.00 ",, $	-00 ,1065, $	-00 ,," $	5,002.00 ",," $	11,196.00 ",,
435349,Government,Federal Government," $	147,470.00 ",, $	-00 ,962, $	-00 ,, $	-00 ,, $	-00 ,,
837905,Media & Content,Media," $	35,639.00 ",, $	-00 ,220, $	-00 ,," $	4,306.00 ",, $	-00 ,,
883473,Healthcare,Health Insurance," $	109,869.00 ",34," $	30,370.00 ",965, $	-00 ,," $	4,379.00 ",," $	49,372.00 ",,126
450667,Data Center & Cloud Services,Colo/Hosting," $	86,881.00 ",, $	-00 ,520," $	3,605.00 ",," $	1,208.00 ",," $	1,511.00 ",,167
404968,CATV/Satellite,Cable & Satellite," $	78,305.00 ",," $	21,806.00 ",152, $	495.00 ,, $	-00 ,," $	19,874.00 ",,184
746926,Data Center & Cloud Services,Colo/Hosting," $	302,211.00 ",, $	-00 ,472," $	9,006.00 ",2," $	107,004.00 ",12," $	48,918.00 ",,
890004,Telecommunications,Regional Carrier/ISP," $	302,362.00 ",40," $	21,504.00 ",, $	678.00 ,," $	17,332.00 ",17," $	24,925.00 ",,17
370062,Healthcare,Health Insurance," $	16,827.00 ",, $	-00 ,88, $	-00 ,, $	252.00 ,, $	70.00 ,,116
